img_num,label
IMG_0060-1.tif.jpg,18
IMG_0060-2.tif.jpg,17
IMG_0060-3.tif.jpg,17
IMG_0060-4.tif.jpg,18
IMG_0061-1.tif.jpg,20
IMG_0061-2.tif.jpg,18
IMG_0061-3.tif.jpg,15
IMG_0061-4.tif.jpg,15
IMG_0061-5.tif.jpg,18
IMG_0061-6.tif.jpg,18
IMG_0062-1.tif.jpg,17
IMG_0062-2.tif.jpg,19
IMG_0062-3.tif.jpg,16
IMG_0062-4.tif.jpg,19
IMG_0062-5.tif.jpg,18
IMG_0062-6.tif.jpg,20
IMG_0064-1.tif.jpg,21
IMG_0064-2.tif.jpg,20
IMG_0064-3.tif.jpg,18
IMG_0064-4.tif.jpg,21
IMG_0065-1.tif.jpg,20
IMG_0065-2.tif.jpg,22
IMG_0065-3.tif.jpg,21
IMG_0065-5.tif.jpg,23
IMG_0065-6.tif.jpg,22
IMG_0075-1.tif.jpg,19
IMG_0075-2.tif.jpg,19
IMG_0075-3.tif.jpg,18
IMG_0075-4.tif.jpg,19
IMG_0075-5.tif.jpg,20
IMG_0077-1.tif.jpg,21
IMG_0077-2.tif.jpg,20
IMG_0077-3.tif.jpg,23
IMG_0077-4.tif.jpg,22
IMG_0077-5.tif.jpg,20
IMG_0077-6.tif.jpg,21
IMG_0079-1.tif.jpg,22
IMG_0079-3.tif.jpg,21
IMG_0079-4.tif.jpg,21
IMG_0079-5.tif.jpg,19
IMG_0079-6.tif.jpg,21
IMG_0081-1.tif.jpg,13
IMG_0081-3.tif.jpg,16
IMG_0081-4.tif.jpg,17
IMG_0081-5.tif.jpg,16
IMG_0081-6.tif.jpg,16
IMG_0082-1.tif.jpg,22
IMG_0082-2.tif.jpg,21
IMG_0082-3.tif.jpg,22
IMG_0082-4.tif.jpg,21
IMG_0082-5.tif.jpg,21
IMG_0082-6.tif.jpg,22
IMG_0083-1.tif.jpg,19
IMG_0083-2.tif.jpg,19
IMG_0083-3.tif.jpg,18
IMG_0083-4.tif.jpg,22
IMG_0083-5.tif.jpg,21
IMG_0083-6.tif.jpg,17
IMG_0084-1.tif.jpg,15
IMG_0084-2.tif.jpg,18
IMG_0084-3.tif.jpg,15
IMG_0084-4.tif.jpg,20
IMG_0084-5.tif.jpg,15
IMG_0084-6.tif.jpg,20
IMG_0085-1.tif.jpg,19
IMG_0085-2.tif.jpg,19
IMG_0085-3.tif.jpg,19
IMG_0085-4.tif.jpg,20
IMG_0085-5.tif.jpg,18
IMG_0085-6.tif.jpg,19
IMG_0087-1.tif.jpg,17
IMG_0087-2.tif.jpg,19
IMG_0087-3.tif.jpg,19
IMG_0087-4.tif.jpg,18
IMG_0087-5.tif.jpg,20
IMG_0087-6.tif.jpg,19
IMG_0088-1.tif.jpg,19
IMG_0088-2.tif.jpg,20
IMG_0088-3.tif.jpg,19
IMG_0088-4.tif.jpg,23
IMG_0088-5.tif.jpg,21
IMG_0088-6.tif.jpg,22
IMG_0089-1.tif.jpg,17
IMG_0089-2.tif.jpg,17
IMG_0089-3.tif.jpg,17
IMG_0089-4.tif.jpg,17
IMG_0089-5.tif.jpg,16
IMG_0089-6.tif.jpg,17
IMG_0090-1.tif.jpg,19
IMG_0090-2.tif.jpg,17
IMG_0090-3.tif.jpg,18
IMG_0090-4.tif.jpg,20
IMG_0090-5.tif.jpg,19
IMG_0090-6.tif.jpg,18
IMG_0099-1.tif.jpg,21
IMG_0099-2.tif.jpg,19
IMG_0099-3.tif.jpg,19
IMG_0099-4.tif.jpg,19
IMG_0099-5.tif.jpg,17
IMG_0099-6.tif.jpg,20
IMG_0100-1.tif.jpg,21
IMG_0100-2.tif.jpg,20
IMG_0100-3.tif.jpg,19
IMG_0100-5.tif.jpg,21
IMG_0100-6.tif.jpg,20
IMG_0102-1.tif.jpg,17
IMG_0102-2.tif.jpg,18
IMG_0102-3.tif.jpg,19
IMG_0102-4.tif.jpg,20
IMG_0102-5.tif.jpg,18
IMG_0102-6.tif.jpg,16
IMG_0103-1.tif.jpg,20
IMG_0103-2.tif.jpg,20
IMG_0103-3.tif.jpg,19
IMG_0103-4.tif.jpg,19
IMG_0103-5.tif.jpg,17
IMG_0103-6.tif.jpg,18
IMG_0104-2.tif.jpg,20
IMG_0104-3.tif.jpg,18
IMG_0104-4.tif.jpg,22
IMG_0104-5.tif.jpg,20
IMG_0104-6.tif.jpg,20
IMG_0112-1.tif.jpg,16
IMG_0112-2.tif.jpg,17
IMG_0112-3.tif.jpg,18
IMG_0112-4.tif.jpg,19
IMG_0112-5.tif.jpg,21
IMG_0112-6.tif.jpg,19
IMG_0113-1.tif.jpg,18
IMG_0113-2.tif.jpg,18
IMG_0113-3.tif.jpg,13
IMG_0113-4.tif.jpg,18
IMG_0113-5.tif.jpg,17
IMG_0113-6.tif.jpg,15
IMG_0114-1.tif.jpg,16
IMG_0114-3.tif.jpg,21
IMG_0114-5.tif.jpg,21
IMG_0114-6.tif.jpg,19
IMG_0115-1.tif.jpg,19
IMG_0115-2.tif.jpg,17
IMG_0115-3.tif.jpg,18
IMG_0115-4.tif.jpg,18
IMG_0119-1.tif.jpg,14
IMG_0119-2.tif.jpg,16
IMG_0119-3.tif.jpg,16
IMG_0119-4.tif.jpg,16
IMG_0119-5.tif.jpg,15
IMG_0119-6.tif.jpg,16
IMG_0120-1.tif.jpg,20
IMG_0120-2.tif.jpg,19
IMG_0120-3.tif.jpg,20
IMG_0120-4.tif.jpg,18
IMG_0120-5.tif.jpg,20
IMG_0120-6.tif.jpg,20
IMG_0121-2.tif.jpg,22
IMG_0121-5.tif.jpg,18
IMG_0122-1.tif.jpg,16
IMG_0122-2.tif.jpg,14
IMG_0122-3.tif.jpg,16
IMG_0122-4.tif.jpg,17
IMG_0122-5.tif.jpg,19
IMG_0122-6.tif.jpg,16
IMG_0123-1.tif.jpg,19
IMG_0123-2.tif.jpg,21
IMG_0123-3.tif.jpg,21
IMG_0123-4.tif.jpg,21
IMG_0123-6.tif.jpg,17
IMG_0124-1.tif.jpg,13
IMG_0124-2.tif.jpg,17
IMG_0124-3.tif.jpg,16
IMG_0124-4.tif.jpg,17
IMG_0124-5.tif.jpg,16
IMG_0124-6.tif.jpg,19
IMG_0128-1.tif.jpg,18
IMG_0128-2.tif.jpg,17
IMG_0128-3.tif.jpg,17
IMG_0128-5.tif.jpg,17
IMG_0128-6.tif.jpg,19
IMG_0129-1.tif.jpg,20
IMG_0129-3.tif.jpg,21
IMG_0129-5.tif.jpg,21
IMG_0129-6.tif.jpg,19
IMG_0130-1.tif.jpg,19
IMG_0130-2.tif.jpg,17
IMG_0130-3.tif.jpg,19
IMG_0130-4.tif.jpg,18
IMG_0130-5.tif.jpg,17
IMG_0130-6.tif.jpg,16
IMG_0133-1.tif.jpg,20
IMG_0133-2.tif.jpg,21
IMG_0133-3.tif.jpg,17
IMG_0133-4.tif.jpg,19
IMG_0133-5.tif.jpg,19
IMG_0133-6.tif.jpg,18
IMG_0134-1.tif.jpg,22
IMG_0134-2.tif.jpg,21
IMG_0134-3.tif.jpg,20
IMG_0134-4.tif.jpg,19
IMG_0134-5.tif.jpg,21
IMG_0134-6.tif.jpg,21
IMG_0138-1.tif.jpg,18
IMG_0138-2.tif.jpg,18
IMG_0138-3.tif.jpg,16
IMG_0138-4.tif.jpg,20
IMG_0138-5.tif.jpg,17
IMG_0138-6.tif.jpg,19
IMG_0139-1.tif.jpg,19
IMG_0139-2.tif.jpg,18
IMG_0139-3.tif.jpg,18
IMG_0139-4.tif.jpg,16
IMG_0139-5.tif.jpg,20
IMG_0139-6.tif.jpg,21
IMG_0140-1.tif.jpg,21
